id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
259444105627725824,259444105627725824,1350691269000,2012-10-19,20:01:09,EDT,470577454,margorilla17,i dont have a spleen,,"Randomly placed in the extra legroom seat, free of charge #LEGGGGGOOOOOOOO #dreamcometrue #tallpeopleproblems @HugeSpeciman @andrewjessiman",['andrewjessiman'],[],[],0,0,0,"['#legggggoooooooo', '#dreamcometrue', '#tallpeopleproblems']",[],https://twitter.com/Margorilla17/status/259444105627725824,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '133391064', 'username': 'andrewjessiman'}]",,,,
257369006095364096,257275253078769664,1350196527000,2012-10-14,02:35:27,EDT,470577454,margorilla17,i dont have a spleen,,@DartmouthFSC WHAT A BOSS,['dartmouthfsc'],[],[],0,0,0,[],[],https://twitter.com/Margorilla17/status/257369006095364096,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '117791280', 'username': 'DartmouthFSC'}]",,,,
256937368370692096,256935225823752192,1350093616000,2012-10-12,22:00:16,EDT,470577454,margorilla17,i dont have a spleen,,@praetoriusBIG please see my latest tweets,['praetoriusbig'],[],[],1,0,0,[],[],https://twitter.com/Margorilla17/status/256937368370692096,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '234250865', 'username': 'praetoriusBIG'}]",,,,
255497522225745920,255497522225745920,1349750330000,2012-10-08,22:38:50,EDT,470577454,margorilla17,i dont have a spleen,,"Ugh how do you choose favorites between Laura Linney and Emma Thompson...Also, #IHATEUNCLEJAMIE!",[],[],[],0,0,0,['#ihateunclejamie'],[],https://twitter.com/Margorilla17/status/255497522225745920,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
255496689404739584,255496689404739584,1349750132000,2012-10-08,22:35:32,EDT,470577454,margorilla17,i dont have a spleen,,The #JoniMitchell scene in #LoveActually...where two perfect things collide and I start crying.,[],[],[],0,1,1,"['#jonimitchell', '#loveactually']",[],https://twitter.com/Margorilla17/status/255496689404739584,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
253557111051673600,252842930480496640,1349287700000,2012-10-03,14:08:20,EDT,470577454,margorilla17,i dont have a spleen,,@liz_doe @frickcollection This exhibit looks ethereal and stunning. It's a date! Can you be my tour guide?,"['liz_doe', 'frickcollection']",[],[],0,0,0,[],[],https://twitter.com/Margorilla17/status/253557111051673600,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '435266221', 'username': 'liz_doe'}, {'user_id': '70100659', 'username': 'frickcollection'}]",,,,
253201753581969409,253197363705954304,1349202976000,2012-10-02,14:36:16,EDT,470577454,margorilla17,i dont have a spleen,,@wheresowengowen are your romantic tweets all part of your scheme to go to #KappaSemi?,[],[],[],0,0,0,['#kappasemi'],[],https://twitter.com/Margorilla17/status/253201753581969409,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
251766896205131776,251763412609159168,1348860880000,2012-09-28,15:34:40,EDT,470577454,margorilla17,i dont have a spleen,,@caitkeen getting #touches... #yosoyfiesta,[],[],[],0,0,0,"['#touches', '#yosoyfiesta']",[],https://twitter.com/Margorilla17/status/251766896205131776,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
251482264800735233,251436198139154432,1348793018000,2012-09-27,20:43:38,EDT,470577454,margorilla17,i dont have a spleen,,@praetoriusBIG #whileyouweresleeping??,['praetoriusbig'],[],[],1,0,0,['#whileyouweresleeping'],[],https://twitter.com/Margorilla17/status/251482264800735233,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '234250865', 'username': 'praetoriusBIG'}]",,,,
249307655640842240,249307655640842240,1348274552000,2012-09-21,20:42:32,EDT,470577454,margorilla17,i dont have a spleen,,#GoMe #GoMe #GoMe hi @HugeSpeciman #fortheboys #feminism #forthegirls @caitkeen pic.twitter.com/yx5tSDUn,[],[],['https://pbs.twimg.com/media/A3W3_e6CAAA5Qiz.jpg'],0,1,0,"['#gome', '#gome', '#gome', '#fortheboys', '#feminism', '#forthegirls']",[],https://twitter.com/Margorilla17/status/249307655640842240,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
